,num_candidates,num_voters,prob_model,voting_method,condorcet_efficiency,error,num_samples,percent_condorcet_winner,percent_condorcet_winner_error
162,5,1000,Mallows,Instant Runoff,0.8978607382550335,0.012260862127283612,13574,0.5269914682271556,0.0017060132614659107
163,5,1000,Mallows,Coombs,0.9000629194630873,0.01214388311241954,13574,0.5269914682271556,0.0017060132614659107
164,5,1000,Mallows,Bucklin,0.6885486577181208,0.018691742589333704,13574,0.5269914682271556,0.0017060132614659107
165,6,10,Mallows,Plurality,0.643947900291938,0.019998947320867155,26091,0.5233855808707758,0.0016899716916523033
166,6,10,Mallows,Borda,0.9571075679317315,0.00853025705184629,26091,0.5233855808707758,0.0016899716916523033
167,6,10,Mallows,Instant Runoff,0.8983831125084213,0.01266232640758258,26091,0.5233855808707758,0.0016899716916523033
168,6,10,Mallows,Coombs,0.9429598023804177,0.009746770496662394,26091,0.5233855808707758,0.0016899716916523033
169,6,10,Mallows,Bucklin,0.831349651920054,0.015664309393524145,26091,0.5233855808707758,0.0016899716916523033
170,6,100,Mallows,Plurality,0.5191493754516362,0.01999987395335734,17684,0.5237025971936172,0.0016789012984089746
171,6,100,Mallows,Borda,0.8882006813254878,0.012653336873540533,17684,0.5237025971936172,0.0016789012984089746
172,6,100,Mallows,Instant Runoff,0.8750903272426964,0.013270329446289475,17684,0.5237025971936172,0.0016789012984089746
173,6,100,Mallows,Coombs,0.8865489831733251,0.012733915863667566,17684,0.5237025971936172,0.0016789012984089746
174,6,100,Mallows,Bucklin,0.6943326107153918,0.018449255093417882,17684,0.5237025971936172,0.0016789012984089746
175,6,1000,Mallows,Plurality,0.49850530873105864,0.019999873365757037,15201,0.5249671188879281,0.0016693931610733959
176,6,1000,Mallows,Borda,0.8601175136583857,0.013907133357490276,15201,0.5249671188879281,0.0016693931610733959
177,6,1000,Mallows,Instant Runoff,0.8733120296876611,0.013340511124106058,15201,0.5249671188879281,0.0016693931610733959
178,6,1000,Mallows,Coombs,0.8777445624162458,0.013139894644310313,15201,0.5249671188879281,0.0016693931610733959
179,6,1000,Mallows,Bucklin,0.6872487372435832,0.01855222427294223,15201,0.5249671188879281,0.0016693931610733959
180,7,10,Mallows,Plurality,0.5964255136986302,0.019999815975364155,31327,0.5199215344686348,0.0016514516778424193
181,7,10,Mallows,Borda,0.9526969178082192,0.008717214841884258,31327,0.5199215344686348,0.0016514516778424193
182,7,10,Mallows,Instant Runoff,0.8782106164383562,0.013368706020740362,31327,0.5199215344686348,0.0016514516778424193
183,7,10,Mallows,Coombs,0.9263698630136986,0.01069844667578257,31327,0.5199215344686348,0.0016514516778424193
184,7,10,Mallows,Bucklin,0.8025470890410958,0.01624833802382164,31327,0.5199215344686348,0.0016514516778424193
185,7,100,Mallows,Plurality,0.4648850217526414,0.01999958475042596,19601,0.5195452589801121,0.001640115155767008
186,7,100,Mallows,Borda,0.8807748083695878,0.013031416273847407,19601,0.5195452589801121,0.001640115155767008
187,7,100,Mallows,Instant Runoff,0.8430702299564947,0.014613990440862867,19601,0.5195452589801121,0.001640115155767008
188,7,100,Mallows,Coombs,0.864615703335405,0.013752490636580794,19601,0.5195452589801121,0.001640115155767008
189,7,100,Mallows,Bucklin,0.7161798218355085,0.018088508869503528,19601,0.5195452589801121,0.001640115155767008
190,7,1000,Mallows,Plurality,0.4531558698138713,0.019999662182483335,16507,0.5202662778253054,0.001630613488085575
191,7,1000,Mallows,Borda,0.8544244566912759,0.014200547475240244,16507,0.5202662778253054,0.001630613488085575
192,7,1000,Mallows,Instant Runoff,0.8481855048351877,0.01444672848067019,16507,0.5202662778253054,0.001630613488085575
193,7,1000,Mallows,Coombs,0.855984194655298,0.014137635335751964,16507,0.5202662778253054,0.001630613488085575
194,7,1000,Mallows,Bucklin,0.6576895081626287,0.0190678409020687,16507,0.5202662778253054,0.001630613488085575
195,8,10,Mallows,Plurality,0.5428304433599834,0.01999947996182272,37126,0.513725990743761,0.0016107497433254236
196,8,10,Mallows,Borda,0.9504724327691828,0.008771566162379063,37126,0.513725990743761,0.0016107497433254236
197,8,10,Mallows,Instant Runoff,0.8492368393728584,0.014395297131513551,37126,0.513725990743761,0.0016107497433254236
198,8,10,Mallows,Coombs,0.9178693801266743,0.011071071261837817,37126,0.513725990743761,0.0016107497433254236
199,8,10,Mallows,Bucklin,0.8051085037898453,0.015924614351721544,37126,0.513725990743761,0.0016107497433254236
200,8,100,Mallows,Plurality,0.42867662528929096,0.01999954424771938,20909,0.5129032258064516,0.001599561747863798
201,8,100,Mallows,Borda,0.8862823479907427,0.01286860543926982,20909,0.5129032258064516,0.001599561747863798
202,8,100,Mallows,Instant Runoff,0.8246370713233747,0.015392993599554594,20909,0.5129032258064516,0.001599561747863798
203,8,100,Mallows,Coombs,0.8526193982747738,0.014356350016036412,20909,0.5129032258064516,0.001599561747863798
204,8,100,Mallows,Bucklin,0.671891436987166,0.01898013142122723,20909,0.5129032258064516,0.001599561747863798
205,8,1000,Mallows,Plurality,0.4042143544764146,0.019999519411373068,17412,0.5131786140303295,0.0015903412654865168
206,8,1000,Mallows,Borda,0.8534602631297465,0.014443285331045552,17412,0.5131786140303295,0.0015903412654865168
207,8,1000,Mallows,Instant Runoff,0.8300352978928227,0.015333083767230193,17412,0.5131786140303295,0.0015903412654865168
208,8,1000,Mallows,Coombs,0.8320676008129212,0.015260313989962082,17412,0.5131786140303295,0.0015903412654865168
209,8,1000,Mallows,Bucklin,0.6730131564873248,0.019122979698655174,17412,0.5131786140303295,0.0015903412654865168
210,9,10,Mallows,Plurality,0.5055670103092783,0.01999976499871292,41608,0.5057123268360821,0.0015694323705994773
211,9,10,Mallows,Borda,0.9470103092783505,0.009020225555688821,41608,0.5057123268360821,0.0015694323705994773
212,9,10,Mallows,Instant Runoff,0.8224742268041237,0.01531030822636592,41608,0.5057123268360821,0.0015694323705994773
213,9,10,Mallows,Coombs,0.9077319587628866,0.011621674195207099,41608,0.5057123268360821,0.0015694323705994773
214,9,10,Mallows,Bucklin,0.7963917525773195,0.016128681628726493,41608,0.5057123268360821,0.0015694323705994773
215,9,100,Mallows,Plurality,0.39525862068965517,0.019999538033406983,22658,0.5043364630478526,0.0015582007819601174
216,9,100,Mallows,Borda,0.8901939655172414,0.012829572378991294,22658,0.5043364630478526,0.0015582007819601174
217,9,100,Mallows,Instant Runoff,0.8081896551724138,0.016127585136438194,22658,0.5043364630478526,0.0015582007819601174
218,9,100,Mallows,Coombs,0.831573275862069,0.01533517062071943,22658,0.5043364630478526,0.0015582007819601174
