,num_candidates,num_voters,prob_model,voting_method,condorcet_efficiency,error,num_samples,percent_condorcet_winner,percent_condorcet_winner_error
58,6,1000,Impartial Culture,Coombs,0.8729503970300093,0.013359416617427788,15231,0.5806120931418374,0.004463243559773233
59,6,1000,Impartial Culture,Bucklin,0.6868103537176447,0.01856310731409494,15231,0.5806120931418374,0.004463243559773233
60,3,10,Mallows,Plurality,0.8708515076806372,0.0182917505431337,9062,0.5806703355731906,0.004359355116510533
61,3,10,Mallows,Borda,0.982362981225109,0.007305186378476769,9062,0.5806703355731906,0.004359355116510533
62,3,10,Mallows,Instant Runoff,0.970794614071686,0.009285782078853555,9062,0.5806703355731906,0.004359355116510533
63,3,10,Mallows,Coombs,1.0,0.0006993342354979504,9062,0.5806703355731906,0.004359355116510533
64,3,10,Mallows,Bucklin,0.8395600227574436,0.019999219863091833,9062,0.5806703355731906,0.004359355116510533
65,3,100,Mallows,Plurality,0.7778964228510411,0.01895536997999514,9345,0.5906647506519772,0.004244561648938383
66,3,100,Mallows,Borda,0.9351308061932728,0.01128873934787944,9345,0.5906647506519772,0.004244561648938383
67,3,100,Mallows,Instant Runoff,0.9644954618259477,0.008517166259830344,9345,0.5906647506519772,0.004244561648938383
68,3,100,Mallows,Coombs,0.9651628403630539,0.008440967350175965,9345,0.5906647506519772,0.004244561648938383
69,3,100,Mallows,Bucklin,0.7398558462359851,0.019998987068252982,9345,0.5906647506519772,0.004244561648938383
70,3,1000,Mallows,Plurality,0.7666619896169496,0.0197766324720291,8153,0.60142343784911,0.004145340406388809
71,3,1000,Mallows,Borda,0.9155324821102848,0.013053070657474408,8153,0.60142343784911,0.004145340406388809
72,3,1000,Mallows,Instant Runoff,0.9659043075627894,0.008570266541365723,8153,0.60142343784911,0.004145340406388809
73,3,1000,Mallows,Coombs,0.9633787007155886,0.008865081841165967,8153,0.60142343784911,0.004145340406388809
74,3,1000,Mallows,Bucklin,0.7589448575838361,0.019997945956010565,8153,0.60142343784911,0.004145340406388809
75,4,10,Mallows,Plurality,0.7614471452798192,0.01999933634819684,15164,0.592536391937251,0.004020569106769067
76,4,10,Mallows,Borda,0.9676370830977954,0.008391529430601508,15164,0.592536391937251,0.004020569106769067
77,4,10,Mallows,Instant Runoff,0.9407857546636518,0.011141632792058598,15164,0.592536391937251,0.004020569106769067
78,4,10,Mallows,Coombs,0.9843131712832108,0.005938862386892563,15164,0.592536391937251,0.004020569106769067
79,4,10,Mallows,Bucklin,0.8053985302430752,0.01858768374334352,15164,0.592536391937251,0.004020569106769067
80,4,100,Mallows,Plurality,0.6676330743360779,0.019998379863071514,12378,0.5978529050145642,0.00390824069014295
81,4,100,Mallows,Borda,0.9047895164096023,0.012505785939084135,12378,0.5978529050145642,0.00390824069014295
82,4,100,Mallows,Instant Runoff,0.9296068653600835,0.010915212603584967,12378,0.5978529050145642,0.00390824069014295
83,4,100,Mallows,Coombs,0.9337817464919401,0.010613745083660198,12378,0.5978529050145642,0.00390824069014295
84,4,100,Mallows,Bucklin,0.7498550388495883,0.018396231294788068,12378,0.5978529050145642,0.00390824069014295
85,4,1000,Mallows,Plurality,0.6489998869928806,0.019999116471446254,11404,0.6058562996004382,0.003806370085860933
86,4,1000,Mallows,Borda,0.8848457452819528,0.013414195582425181,11404,0.6058562996004382,0.003806370085860933
87,4,1000,Mallows,Instant Runoff,0.930952650016951,0.010678733703853083,11404,0.6058562996004382,0.003806370085860933
88,4,1000,Mallows,Coombs,0.9340038422420612,0.010459686460905782,11404,0.6058562996004382,0.003806370085860933
89,4,1000,Mallows,Bucklin,0.7488981805853768,0.01818131610830187,11404,0.6058562996004382,0.003806370085860933
90,5,10,Mallows,Plurality,0.6867152935549444,0.01999867342119155,20876,0.5902553758547118,0.0036820485043635998
91,5,10,Mallows,Borda,0.9610187731675236,0.008418402885923215,20876,0.5902553758547118,0.0036820485043635998
92,5,10,Mallows,Instant Runoff,0.9172545737175655,0.01192894869233907,20876,0.5902553758547118,0.0036820485043635998
93,5,10,Mallows,Coombs,0.9660408944158795,0.007886170272469073,20876,0.5902553758547118,0.0036820485043635998
94,5,10,Mallows,Bucklin,0.8351070190123162,0.016024538184742143,20876,0.5902553758547118,0.0036820485043635998
95,5,100,Mallows,Plurality,0.5811812023708721,0.019999813076031714,15393,0.5915041355366544,0.0035812376665022017
96,5,100,Mallows,Borda,0.893839966130398,0.01252838637540754,15393,0.5915041355366544,0.0035812376665022017
97,5,100,Mallows,Instant Runoff,0.9008255715495342,0.012159675877383092,15393,0.5915041355366544,0.0035812376665022017
98,5,100,Mallows,Coombs,0.9146909398814564,0.011371375791255134,15393,0.5915041355366544,0.0035812376665022017
99,5,100,Mallows,Bucklin,0.6929508890770534,0.01870580728092741,15393,0.5915041355366544,0.0035812376665022017
100,5,1000,Mallows,Plurality,0.5682629699642933,0.019999976208960213,13580,0.5964094102303155,0.0034934825714936224
101,5,1000,Mallows,Borda,0.8658895190086117,0.013793477186662462,13580,0.5964094102303155,0.0034934825714936224
102,5,1000,Mallows,Instant Runoff,0.8964503255618568,0.012344000779146214,13580,0.5964094102303155,0.0034934825714936224
103,5,1000,Mallows,Coombs,0.8969754253308129,0.012316514365581788,13580,0.5964094102303155,0.0034934825714936224
104,5,1000,Mallows,Bucklin,0.6865154379332074,0.018738589924431448,13580,0.5964094102303155,0.0034934825714936224
105,6,10,Mallows,Plurality,0.637619790505906,0.019999446225014372,26766,0.5752543183420956,0.003374001632673429
106,6,10,Mallows,Borda,0.9574325830176064,0.008467050068936999,26766,0.5752543183420956,0.003374001632673429
107,6,10,Mallows,Instant Runoff,0.8941386226877647,0.012842007049578608,26766,0.5752543183420956,0.003374001632673429
108,6,10,Mallows,Coombs,0.9426119901938935,0.009736762828335244,26766,0.5752543183420956,0.003374001632673429
109,6,10,Mallows,Bucklin,0.8254958769779362,0.015815382296847424,26766,0.5752543183420956,0.003374001632673429
110,6,100,Mallows,Plurality,0.5226192935343937,0.019999285398914712,17658,0.573887160215026,0.003288594364676767
111,6,100,Mallows,Borda,0.8822557322867176,0.012942789550589251,17658,0.573887160215026,0.003288594364676767
112,6,100,Mallows,Instant Runoff,0.8761619500103285,0.013225206065955786,17658,0.573887160215026,0.003288594364676767
113,6,100,Mallows,Coombs,0.8848378434207809,0.012819832698317657,17658,0.573887160215026,0.003288594364676767
114,6,100,Mallows,Bucklin,0.6940714728361909,0.018458427550032352,17658,0.573887160215026,0.003288594364676767
115,6,1000,Mallows,Plurality,0.4996392124523245,0.01999995707820945,15160,0.5766427778894362,0.003216443903805599
116,6,1000,Mallows,Borda,0.8656839501082363,0.013673452921070472,15160,0.5766427778894362,0.003216443903805599
