m,n_team,k,rule,seed,ok,runtime
3,2,3,plurality,4,False,0.0002978999982587993
3,2,3,plurality,5,False,0.0002767000114545226
3,2,3,plurality,6,False,0.0003872000379487872
3,2,3,plurality,7,False,0.0009183000074699521
3,2,3,plurality,8,False,0.0003511000541038811
3,2,3,plurality,9,False,0.00025179999647662044
3,2,3,plurality,10,False,0.0002443999983370304
3,2,3,plurality,11,False,0.00028579996433109045
3,2,3,plurality,12,False,0.0003276999923400581
3,2,3,plurality,13,False,0.0003842999576590955
3,2,3,plurality,14,False,0.00036130001535639167
3,2,3,plurality,15,False,0.00028710003243759274
3,2,3,plurality,16,False,0.0004631999763660133
3,2,3,plurality,17,False,0.000312299991492182
3,2,3,plurality,18,False,0.0003429000498726964
3,2,3,plurality,19,False,0.0003339999821037054
3,2,3,plurality,20,False,0.000248999975156039
3,2,3,plurality,21,False,0.0002722999779507518
3,2,3,plurality,22,False,0.00019970000721514225
3,2,3,plurality,23,False,0.00026030000299215317
3,2,3,plurality,24,False,0.0003268999862484634
3,2,3,plurality,25,False,0.00030780001543462276
3,2,3,plurality,26,False,0.00029039999935775995
3,2,3,plurality,27,False,0.0004037999897263944
3,2,3,plurality,28,False,0.0005241999751888216
3,2,3,plurality,29,False,0.0006393999792635441
3,2,3,plurality,30,False,0.000311399984639138
3,2,3,plurality,31,False,0.0002402999671176076
3,2,3,plurality,32,False,0.0002212999970652163
3,2,3,plurality,33,False,0.00021009996999055147
3,2,3,plurality,34,False,0.0004885999951511621
3,2,3,plurality,35,False,0.00030229997355490923
3,2,3,plurality,36,False,0.0005267999949865043
3,2,3,plurality,37,False,0.0002145000034943223
3,2,3,plurality,38,False,0.0002136999974027276
3,2,3,plurality,39,False,0.0002049999893642962
3,2,3,plurality,40,False,0.00024229998234659433
3,2,3,plurality,41,False,0.0004056000034324825
3,2,3,plurality,42,False,0.0003097999724559486
3,2,3,plurality,43,False,0.00027540000155568123
3,2,3,plurality,44,False,0.00022420001914724708
3,2,3,plurality,45,False,0.00024069997016340494
3,2,3,plurality,46,False,0.0003328999737277627
3,2,3,plurality,47,False,0.0006689000292681158
3,2,3,plurality,48,False,0.0003104000352323055
3,2,3,plurality,49,False,0.0002482000272721052
3,2,3,2-approval,0,False,0.0002501000417396426
3,2,3,2-approval,1,False,0.00025159999495372176
3,2,3,2-approval,2,False,0.0012585999793373048
3,2,3,2-approval,3,False,0.0011605999898165464
3,2,3,2-approval,4,False,0.0003223000094294548
3,2,3,2-approval,5,False,0.0005014999769628048
3,2,3,2-approval,6,False,0.00029960001120343804
3,2,3,2-approval,7,False,0.00031430000672116876
3,2,3,2-approval,8,False,0.0003044000477530062
3,2,3,2-approval,9,False,0.00028490001568570733
3,2,3,2-approval,10,False,0.00025099999038502574
3,2,3,2-approval,11,False,0.0003377000102773309
3,2,3,2-approval,12,False,0.000387699983548373
3,2,3,2-approval,13,False,0.00027520000003278255
3,2,3,2-approval,14,False,0.0004784000338986516
3,2,3,2-approval,15,False,0.0005179999861866236
3,2,3,2-approval,16,False,0.0003407999756745994
3,2,3,2-approval,17,False,0.00043489999370649457
3,2,3,2-approval,18,False,0.00028009997913613915
3,2,3,2-approval,19,False,0.0003276999923400581
3,2,3,2-approval,20,False,0.0005194999976083636
3,2,3,2-approval,21,False,0.00026430003345012665
